,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value,result2_key,result2_value
102,20UPBBB0002508,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.753,Estimated_Ni_Mass,0
103,20UPBBB0002509,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.759,Estimated_Ni_Mass,0
104,20UPBBB0002510,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.756,Estimated_Ni_Mass,0
105,20UPBBB0002511,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.757,Estimated_Ni_Mass,0
106,20UPBBB0002512,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,01/01/1900,1.0,True,False,Base_Block_Mass,0,Estimated_Ni_Mass,0
107,20UPBBB0002513,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.757,Estimated_Ni_Mass,0
108,20UPBBB0002514,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.748,Estimated_Ni_Mass,0
109,20UPBBB0002515,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.76,Estimated_Ni_Mass,0
110,20UPBBB0002516,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.76,Estimated_Ni_Mass,0
111,20UPBBB0002517,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.753,Estimated_Ni_Mass,0
112,20UPBBB0002518,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.757,Estimated_Ni_Mass,0
